"Crop","Season","State","Area","Production","Annual_Rainfall","Fertilizer","Pesticide","Yield"
"Jute","Kharif     ","Assam","78702","687173","2354.4","7775757.6","22823.58","9.040869565"
"Maize","Kharif     ","Assam","19810","13965","2354.4","1957228","5744.9","0.608695652"
"Mesta","Kharif     ","Assam","5260","25623","2354.4","519688","1525.4","4.9105"
"Niger seed","Kharif     ","Assam","8753","4478","2354.4","864796.4","2538.37","0.520555556"
"Sesamum","Kharif     ","Assam","15940","8210","2354.4","1574872","4622.6","0.485217391"
"Small millets","Kharif     ","Assam","10547","5450","2354.4","1042043.6","3058.63","0.521363636"
"Groundnut","Kharif     ","Goa","350","412","2964.9","34580","101.5","1.18"
"Other Kharif pulses","Kharif     ","Goa","1200","324","2964.9","118560","348","0.27"
"Ragi","Kharif     ","Goa","2500","2476","2964.9","247000","725","0.99"
"Rice","Kharif     ","Goa","41000","104249","2964.9","4050800","11890","2.54"
"Arhar/Tur","Kharif     ","Karnataka","475396","221453","1260.8","46969124.8","137864.84","0.400833333"
"Bajra","Kharif     ","Karnataka","415816","282231","1260.8","41082620.8","120586.64","0.601764706"
"Castor seed","Kharif     ","Karnataka","27246","23245","1260.8","2691904.8","7901.34","0.831818182"
"Cotton(lint)","Kharif     ","Karnataka","636495","976876","1260.8","62885706","184583.55","1.556521739"
"Ginger","Kharif     ","Karnataka","3896","51169","1260.8","384924.8","1129.84","12.75944444"
"Groundnut","Kharif     ","Karnataka","1012577","929016","1260.8","100042607.6","293647.33","0.8568"
"Horse-gram","Kharif     ","Karnataka","189486","90718","1260.8","18721216.8","54950.94","0.504615385"
"Jowar","Kharif     ","Karnataka","420808","616645","1260.8","41575830.4","122034.32","1.305714286"
"Maize","Kharif     ","Karnataka","450472","1542607","1260.8","44506633.6","130636.88","3.366"
"Moong(Green Gram)","Kharif     ","Karnataka","311720","61227","1260.8","30797936","90398.8","0.180769231"
"Niger seed","Kharif     ","Karnataka","41853","8104","1260.8","4135076.4","12137.37","0.214782609"
"Onion","Kharif     ","Karnataka","79921","362053","1260.8","7896194.8","23177.09","5.363636364"
"Peas & beans (Pulses)","Kharif     ","Karnataka","1730","15872","1260.8","170924","501.7","9.265882353"
"Potato","Kharif     ","Karnataka","28755","317052","1260.8","2840994","8338.95","12.37333333"
"Ragi","Kharif     ","Karnataka","986173","1664767","1260.8","97433892.4","285990.17","1.418"
"Rapeseed &Mustard","Kharif     ","Karnataka","6673","1790","1260.8","659292.4","1935.17","0.210625"
"Rice","Kharif     ","Karnataka","1079193","2599170","1260.8","106624268.4","312965.97","2.310740741"
"Sesamum","Kharif     ","Karnataka","115250","46673","1260.8","11386700","33422.5","0.417307692"
"Soyabean","Kharif     ","Karnataka","65309","70294","1260.8","6452529.2","18939.61","1.060588235"
"Sunflower","Kharif     ","Karnataka","430676","127090","1260.8","42550788.8","124896.04","0.382608696"
"Cotton(lint)","Kharif     ","Kerala","10999","17752","3151.5","1086701.2","3189.71","1.61"
"Groundnut","Kharif     ","Kerala","7021","5219","3151.5","693674.8","2036.09","0.62"
"Jowar","Kharif     ","Kerala","2177","1108","3151.5","215087.6","631.33","0.505"
"Ragi","Kharif     ","Kerala","1157","936","3151.5","114311.6","335.53","0.81"
"Sesamum","Kharif     ","Kerala","3303","1057","3151.5","326336.4","957.87","0.467272727"
"Arhar/Tur","Kharif     ","Meghalaya","861","678","6552.7","85066.8","249.69","0.803333333"
"Cotton(lint)","Kharif     ","Meghalaya","7549","5599","6552.7","745841.2","2189.21","0.796666667"
"Ginger","Kharif     ","Meghalaya","7403","45590","6552.7","731416.4","2146.87","6.008571429"
"Jute","Kharif     ","Meghalaya","4241","27097","6552.7","419010.8","1229.89","7.553333333"
"Linseed","Kharif     ","Meghalaya","51","23","6552.7","5038.8","14.79","0.45"
"Maize","Kharif     ","Meghalaya","17219","25272","6552.7","1701237.2","4993.51","1.457142857"
"Mesta","Kharif     ","Meghalaya","4681","21362","6552.7","462482.8","1357.49","4.58"
"Rice","Kharif     ","Meghalaya","105402","149742","6552.7","10413717.6","30566.58","1.51"
"Sesamum","Kharif     ","Meghalaya","1322","694","6552.7","130613.6","383.38","0.575714286"
"Small millets","Kharif     ","Meghalaya","2823","2282","6552.7","278912.4","818.67","0.871428571"
"Soyabean","Kharif     ","Meghalaya","899","812","6552.7","88821.2","260.71","0.881428571"
"Arhar/Tur","Kharif     ","West Bengal","2606","1672","2152.5","257472.8","755.74","0.756923077"
"Bajra","Kharif     ","West Bengal","175","84","2152.5","17290","50.75","0.436666667"
"Cotton(lint)","Kharif     ","West Bengal","200","73","2152.5","19760","58","0.37"
"Ginger","Kharif     ","West Bengal","9398","18839","2152.5","928522.4","2725.42","1.449444444"
"Jowar","Kharif     ","West Bengal","886","414","2152.5","87536.8","256.94","0.465"
"Jute","Kharif     ","West Bengal","612066","7373630","2152.5","60472120.8","177499.14","13.24705882"
"Maize","Kharif     ","West Bengal","38519","121161","2152.5","3805677.2","11170.51","2.634"
"Mesta","Kharif     ","West Bengal","9911","81030","2152.5","979206.8","2874.19","8.453846154"
"Moong(Green Gram)","Kharif     ","West Bengal","822","429","2152.5","81213.6","238.38","0.5075"
"Niger seed","Kharif     ","West Bengal","7587","4100","2152.5","749595.6","2200.23","0.4075"
"Other Kharif pulses","Kharif     ","West Bengal","768","318","2152.5","75878.4","222.72","0.516"
"Ragi","Kharif     ","West Bengal","12895","15648","2152.5","1274026","3739.55","0.91"
"Small millets","Kharif     ","West Bengal","3742","1877","2152.5","369709.6","1085.18","0.575714286"
"Soyabean","Kharif     ","West Bengal","800","461","2152.5","79040","232","0.481666667"
"Sunflower","Kharif     ","West Bengal","149","111","2152.5","14721.2","43.21","0.71"
"Urad","Kharif     ","West Bengal","58878","25071","2152.5","5817146.4","17074.62","0.402222222"
"Arhar/Tur","Kharif     ","Assam","7266","5102","2201.8","771140.58","1961.82","0.707826087"
"Castor seed","Kharif     ","Assam","1726","704","2201.8","183180.38","466.02","0.423333333"
"Cotton(lint)","Kharif     ","Assam","1637","746","2201.8","173734.81","441.99","0.41173913"
"Jute","Kharif     ","Assam","73545","657537","2201.8","7805330.85","19857.15","9.13173913"
"Maize","Kharif     ","Assam","19708","14056","2201.8","2091610.04","5321.16","0.613913043"
"Mesta","Kharif     ","Assam","5177","25515","2201.8","549435.01","1397.79","4.622380952"
"Niger seed","Kharif     ","Assam","8904","4582","2201.8","944981.52","2404.08","0.548947368"
"Sesamum","Kharif     ","Assam","15143","7866","2201.8","1607126.59","4088.61","0.485217391"
"Small millets","Kharif     ","Assam","10681","5467","2201.8","1133574.53","2883.87","0.502727273"
"Groundnut","Kharif     ","Goa","350","513","3879.3","37145.5","94.5","1.47"
"Other Kharif pulses","Kharif     ","Goa","1000","578","3879.3","106130","270","0.58"
"Ragi","Kharif     ","Goa","1000","1070","3879.3","106130","270","1.07"
"Rice","Kharif     ","Goa","40500","96281","3879.3","4298265","10935","2.38"
"Cotton(lint)","Kharif     ","Kerala","4772","7702","2914.6","506452.36","1288.44","1.61"
"Groundnut","Kharif     ","Kerala","6921","5144","2914.6","734525.73","1868.67","0.37"
"Jowar","Kharif     ","Kerala","2529","1287","2914.6","268402.77","682.83","0.255"
"Ragi","Kharif     ","Kerala","870","704","2914.6","92333.1","234.9","0.815"
"Sesamum","Kharif     ","Kerala","2612","718","2914.6","277211.56","705.24","0.374545455"
"Arhar/Tur","Kharif     ","Meghalaya","871","647","6200.3","92439.23","235.17","0.78"
"Castor seed","Kharif     ","Meghalaya","27","14","6200.3","2865.51","7.29","0.515"
"Cotton(lint)","Kharif     ","Meghalaya","7455","5549","6200.3","791199.15","2012.85","0.8"
"Ginger","Kharif     ","Meghalaya","7606","44710","6200.3","807224.78","2053.62","5.765714286"
"Jute","Kharif     ","Meghalaya","4235","31781","6200.3","449460.55","1143.45","6.76"
"Maize","Kharif     ","Meghalaya","16637","24051","6200.3","1765684.81","4491.99","1.448571429"
"Mesta","Kharif     ","Meghalaya","4457","20071","6200.3","473021.41","1203.39","4.556666667"
"Rice","Kharif     ","Meghalaya","102482","156887","6200.3","10876414.66","27670.14","1.605714286"
"Sesamum","Kharif     ","Meghalaya","1304","680","6200.3","138393.52","352.08","0.588571429"
"Soyabean","Kharif     ","Meghalaya","1038","928","6200.3","110162.94","280.26","0.888571429"
"Bajra","Kharif     ","Puducherry","170","470","1434.5875","18042.1","45.9","2.76"
"Cotton(lint)","Kharif     ","Puducherry","357","1835","1434.5875","37888.41","96.39","5.14"
"Ginger","Kharif     ","Puducherry","133","94","1434.5875","14115.29","35.91","0.676666667"
"Groundnut","Kharif     ","Puducherry","898","2511","1434.5875","95304.74","242.46","2.125"
"Jowar","Kharif     ","Puducherry","3","3","1434.5875","318.39","0.81","1"
"Ragi","Kharif     ","Puducherry","124","452","1434.5875","13160.12","33.48","3.325"
"Rice","Kharif     ","Puducherry","25444","59433","1434.5875","2700371.72","6869.88","2.61"
"Arhar/Tur","Kharif     ","West Bengal","3077","2320","2318.1","326562.01","830.79","0.83"
"Bajra","Kharif     ","West Bengal","146","96","2318.1","15494.98","39.42","0.606666667"
"Castor seed","Kharif     ","West Bengal","35","24","2318.1","3714.55","9.45","0.69"
"Cotton(lint)","Kharif     ","West Bengal","750","2040","2318.1","79597.5","202.5","2.72"
"Ginger","Kharif     ","West Bengal","9165","18890","2318.1","972681.45","2474.55","1.662777778"
"Groundnut","Kharif     ","West Bengal","4804","3311","2318.1","509848.52","1297.08","1.16625"
"Jowar","Kharif     ","West Bengal","1156","540","2318.1","122686.28","312.12","0.68"
"Jute","Kharif     ","West Bengal","613923","7593680","2318.1","65155647.99","165759.21","13.94058824"
"Maize","Kharif     ","West Bengal","35129","69682","2318.1","3728240.77","9484.83","1.941538462"
"Mesta","Kharif     ","West Bengal","8864","81720","2318.1","940736.32","2393.28","9.842142857"
"Moong(Green Gram)","Kharif     ","West Bengal","578","293","2318.1","61343.14","156.06","0.5325"
"Niger seed","Kharif     ","West Bengal","6733","3528","2318.1","714573.29","1817.91","0.3875"
"Other Kharif pulses","Kharif     ","West Bengal","783","419","2318.1","83099.79","211.41","0.591666667"
"Ragi","Kharif     ","West Bengal","12489","15051","2318.1","1325457.57","3372.03","0.898"
"Small millets","Kharif     ","West Bengal","3702","1924","2318.1","392893.26","999.54","0.617142857"
"Soyabean","Kharif     ","West Bengal","730","441","2318.1","77474.9","197.1","0.448333333"
"Sunflower","Kharif     ","West Bengal","150","90","2318.1","15919.5","40.5","0.683333333"
"Urad","Kharif     ","West Bengal","60254","35523","2318.1","6394757.02","16268.58","0.566666667"
"Arhar/Tur","Kharif     ","Andhra Pradesh","507366","216457","935.6","49808120.22","131915.16","0.433181818"
"Bajra","Kharif     ","Andhra Pradesh","129475","135964","935.6","12710560.75","33663.5","1.001666667"
"Castor seed","Kharif     ","Andhra Pradesh","398561","136860","935.6","39126733.37","103625.86","0.339047619"
"Cotton(lint)","Kharif     ","Andhra Pradesh","1021721","1662683","935.6","100302350.6","265647.46","1.687727273"
"Dry chillies","Kharif     ","Andhra Pradesh","183741","410643","935.6","18037853.97","47772.66","2.146818182"
"Gram","Kharif     ","Andhra Pradesh","100","173","935.6","9817","26","1.1575"
"Groundnut","Kharif     ","Andhra Pradesh","1601349","1697233","935.6","157204431.3","416350.74","0.904090909"
"Horse-gram","Kharif     ","Andhra Pradesh","13824","6838","935.6","1357102.08","3594.24","0.5"
"Jowar","Kharif     ","Andhra Pradesh","332435","328490","935.6","32635143.95","86433.1","0.830909091"
"Maize","Kharif     ","Andhra Pradesh","430544","1107165","935.6","42266504.48","111941.44","2.564545455"
"Mesta","Kharif     ","Andhra Pradesh","77823","686947","935.6","7639883.91","20233.98","8.745384615"
"Moong(Green Gram)","Kharif     ","Andhra Pradesh","392017","141194","935.6","38484308.89","101924.42","0.404090909"
"Niger seed","Kharif     ","Andhra Pradesh","18452","6001","935.6","1811432.84","4797.52","0.36"
"Onion","Kharif     ","Andhra Pradesh","17058","227873","935.6","1674583.86","4435.08","12.77315789"
"Other Kharif pulses","Kharif     ","Andhra Pradesh","19850","5000","935.6","1948674.5","5161","0.275263158"
"Ragi","Kharif     ","Andhra Pradesh","83492","92780","935.6","8196409.64","21707.92","1.172"
"Rice","Kharif     ","Andhra Pradesh","3003673","8233806","935.6","294870578.4","780954.98","2.7"
"Sesamum","Kharif     ","Andhra Pradesh","143737","29348","935.6","14110661.29","37371.62","0.192272727"
"Small millets","Kharif     ","Andhra Pradesh","64766","38398","935.6","6358078.22","16839.16","0.668125"
"Sunflower","Kharif     ","Andhra Pradesh","197261","167828","935.6","19365112.37","51287.86","1.038421053"
"Urad","Kharif     ","Andhra Pradesh","99423","28296","935.6","9760355.91","25849.98","0.1615"
"Arhar/Tur","Kharif     ","Assam","7280","5159","1965.5","714677.6","1892.8","0.714347826"
"Castor seed","Kharif     ","Assam","1662","681","1965.5","163158.54","432.12","0.417619048"
"Cotton(lint)","Kharif     ","Assam","1673","760","1965.5","164238.41","434.98","0.426521739"
"Jute","Kharif     ","Assam","69513","668439","1965.5","6824091.21","18073.38","9.794782609"
"Maize","Kharif     ","Assam","20241","14616","1965.5","1987058.97","5262.66","0.605652174"
"Mesta","Kharif     ","Assam","5049","24557","1965.5","495660.33","1312.74","4.657368421"
"Niger seed","Kharif     ","Assam","9044","4653","1965.5","887849.48","2351.44","0.627368421"
"Sesamum","Kharif     ","Assam","14960","8076","1965.5","1468623.2","3889.6","0.489565217"
"Small millets","Kharif     ","Assam","10591","5410","1965.5","1039718.47","2753.66","0.495454545"
"Groundnut","Kharif     ","Goa","360","567","3886.9","35341.2","93.6","1.58"
"Other Kharif pulses","Kharif     ","Goa","650","314","3886.9","63810.5","169","0.48"
"Ragi","Kharif     ","Goa","500","499","3886.9","49085","130","1"
"Rice","Kharif     ","Goa","41000","96568","3886.9","4024970","10660","2.36"
"Arhar/Tur","Kharif     ","Karnataka","582763","263533","1213.3","57209843.71","151518.38","0.492083333"
"Bajra","Kharif     ","Karnataka","461048","340498","1213.3","45261082.16","119872.48","0.662352941"
"Castor seed","Kharif     ","Karnataka","30366","38871","1213.3","2981030.22","7895.16","1.31"
"Cotton(lint)","Kharif     ","Karnataka","551763","855236","1213.3","54166573.71","143458.38","1.593333333"
"Ginger","Kharif     ","Karnataka","10758","141587","1213.3","1056112.86","2797.08","12.76823529"
"Groundnut","Kharif     ","Karnataka","883611","881807","1213.3","86744091.87","229738.86","0.9464"
"Horse-gram","Kharif     ","Karnataka","161959","92938","1213.3","15899515.03","42109.34","0.63625"
"Jowar","Kharif     ","Karnataka","402962","589793","1213.3","39558779.54","104770.12","1.395238095"
"Maize","Kharif     ","Karnataka","599893","1961879","1213.3","58891495.81","155972.18","3.1712"
"Mesta","Kharif     ","Karnataka","4288","6666","1213.3","420952.96","1114.88","1.807142857"
"Moong(Green Gram)","Kharif     ","Karnataka","435355","180709","1213.3","42738800.35","113192.3","0.419130435"
"Niger seed","Kharif     ","Karnataka","43842","8382","1213.3","4303969.14","11398.92","0.213043478"
"Other Kharif pulses","Kharif     ","Karnataka","169312","51172","1213.3","16621359.04","44021.12","0.2812"
"Ragi","Kharif     ","Karnataka","983456","1788947","1213.3","96545875.52","255698.56","1.644"
"Rice","Kharif     ","Karnataka","1120549","2792657","1213.3","110004295.3","291342.74","2.357407407"
"Sesamum","Kharif     ","Karnataka","97589","40039","1213.3","9580312.13","25373.14","0.4372"
"Small millets","Kharif     ","Karnataka","71447","47452","1213.3","7013951.99","18576.22","0.686363636"
"Soyabean","Kharif     ","Karnataka","62553","65266","1213.3","6140828.01","16263.78","1.01"
"Sunflower","Kharif     ","Karnataka","188140","100627","1213.3","18469703.8","48916.4","0.5375"
"Urad","Kharif     ","Karnataka","133729","51657","1213.3","13128175.93","34769.54","0.3965"
"Cotton(lint)","Kharif     ","Kerala","3847","6209","2412.6","377659.99","1000.22","1.61"
"Groundnut","Kharif     ","Kerala","3677","2733","2412.6","360971.09","956.02","0.37"
"Jowar","Kharif     ","Kerala","463","236","2412.6","45452.71","120.38","0.51"
"Ragi","Kharif     ","Kerala","1955","1582","2412.6","191922.35","508.3","0.813333333"
"Sesamum","Kharif     ","Kerala","2002","797","2412.6","196536.34","520.52","0.345833333"
"Arhar/Tur","Kharif     ","Meghalaya","863","641","6258.8","84720.71","224.38","0.78"
"Castor seed","Kharif     ","Meghalaya","23","12","6258.8","2257.91","5.98","0.515"
"Cotton(lint)","Kharif     ","Meghalaya","7340","7684","6258.8","720567.8","1908.4","1.036666667"
"Ginger","Kharif     ","Meghalaya","7811","44900","6258.8","766805.87","2030.86","5.897142857"
"Jute","Kharif     ","Meghalaya","4220","35816","6258.8","414277.4","1097.2","7.133333333"
"Maize","Kharif     ","Meghalaya","16906","24250","6258.8","1659662.02","4395.56","1.437142857"
"Mesta","Kharif     ","Meghalaya","4635","21358","6258.8","455017.95","1205.1","4.606666667"
"Rice","Kharif     ","Meghalaya","102657","165907","6258.8","10077837.69","26690.82","1.681428571"
"Sesamum","Kharif     ","Meghalaya","1317","694","6258.8","129289.89","342.42","0.614285714"
"Small millets","Kharif     ","Meghalaya","2800","2266","6258.8","274876","728","0.864285714"
"Soyabean","Kharif     ","Meghalaya","983","914","6258.8","96501.11","255.58","0.91"
"Bajra","Kharif     ","Puducherry","186","513","1434.5875","18259.62","48.36","2.76"
"Cotton(lint)","Kharif     ","Puducherry","452","2300","1434.5875","44372.84","117.52","5.11"
"Ginger","Kharif     ","Puducherry","227","117","1434.5875","22284.59","59.02","0.54"
"Groundnut","Kharif     ","Puducherry","1175","2158","1434.5875","115349.75","305.5","1.62"
"Jowar","Kharif     ","Puducherry","6","6","1434.5875","589.02","1.56","1"
"Moong(Green Gram)","Kharif     ","Puducherry","2480","1400","1434.5875","243461.6","644.8","0.586666667"
"Ragi","Kharif     ","Puducherry","125","276","1434.5875","12271.25","32.5","2.21"
"Rice","Kharif     ","Puducherry","42779","103606","1434.5875","4199614.43","11122.54","2.605"
"Urad","Kharif     ","Puducherry","3392","2123","1434.5875","332992.64","881.92","0.706666667"
"Arhar/Tur","Kharif     ","West Bengal","8868","5930","1907.7","870571.56","2305.68","0.686153846"
"Bajra","Kharif     ","West Bengal","313","256","1907.7","30727.21","81.38","0.8875"
"Castor seed","Kharif     ","West Bengal","100","127","1907.7","9817","26","1.27"
"Cotton(lint)","Kharif     ","West Bengal","1188","2732","1907.7","116625.96","308.88","2.3"
"Ginger","Kharif     ","West Bengal","9328","18898","1907.7","915729.76","2425.28","1.524444444"
"Groundnut","Kharif     ","West Bengal","2020","1594","1907.7","198303.4","525.2","0.968333333"
"Jowar","Kharif     ","West Bengal","1016","521","1907.7","99740.72","264.16","0.578333333"
"Jute","Kharif     ","West Bengal","612994","7428400","1907.7","60177620.98","159378.44","13.52411765"
"Maize","Kharif     ","West Bengal","35267","88264","1907.7","3462161.39","9169.42","2.568571429"
"Mesta","Kharif     ","West Bengal","10891","83630","1907.7","1069169.47","2831.66","6.860833333"
"Moong(Green Gram)","Kharif     ","West Bengal","635","308","1907.7","62337.95","165.1","0.498571429"
"Niger seed","Kharif     ","West Bengal","6874","3702","1907.7","674820.58","1787.24","0.405555556"
"Other Kharif pulses","Kharif     ","West Bengal","825","409","1907.7","80990.25","214.5","0.548333333"
"Ragi","Kharif     ","West Bengal","12651","15242","1907.7","1241948.67","3289.26","0.926"
"Small millets","Kharif     ","West Bengal","3061","1625","1907.7","300498.37","795.86","0.682857143"
"Soyabean","Kharif     ","West Bengal","538","322","1907.7","52815.46","139.88","0.5775"
"Sunflower","Kharif     ","West Bengal","246","156","1907.7","24149.82","63.96","1.276666667"
"Urad","Kharif     ","West Bengal","56233","27815","1907.7","5520393.61","14620.58","0.462222222"
"Arhar/Tur","Kharif     ","Andhra Pradesh","414401","185620","928.4","42322774.13","107744.26","0.465"
"Bajra","Kharif     ","Andhra Pradesh","81851","63589","928.4","8359442.63","21281.26","0.851764706"
"Castor seed","Kharif     ","Andhra Pradesh","283585","82983","928.4","28962536.05","73732.1","0.296842105"
"Cotton(lint)","Kharif     ","Andhra Pradesh","1107852","1876698","928.4","113144924.8","288041.52","1.820454545"
"Dry chillies","Kharif     ","Andhra Pradesh","170661","463307","928.4","17429607.93","44371.86","2.497272727"
"Gram","Kharif     ","Andhra Pradesh","91","101","928.4","9293.83","23.66","1.092857143"
"Groundnut","Kharif     ","Andhra Pradesh","1438665","817551","928.4","146930856.5","374052.9","0.83"
"Horse-gram","Kharif     ","Andhra Pradesh","11412","4417","928.4","1165507.56","2967.12","0.368888889"
"Jowar","Kharif     ","Andhra Pradesh","299306","287310","928.4","30568121.78","77819.56","0.838095238"
"Maize","Kharif     ","Andhra Pradesh","337533","986011","928.4","34472245.29","87758.58","2.801818182"
"Mesta","Kharif     ","Andhra Pradesh","78942","671542","928.4","8062346.46","20524.92","8.370909091"
"Moong(Green Gram)","Kharif     ","Andhra Pradesh","338337","113312","928.4","34554357.81","87967.62","0.408636364"
"Niger seed","Kharif     ","Andhra Pradesh","19090","8017","928.4","1949661.7","4963.4","0.38"
"Onion","Kharif     ","Andhra Pradesh","17736","234978","928.4","1811377.68","4611.36","12.74411765"
"Other Kharif pulses","Kharif     ","Andhra Pradesh","17331","4573","928.4","1770015.03","4506.06","0.314210526"
"Ragi","Kharif     ","Andhra Pradesh","68733","80097","928.4","7019701.29","17870.58","1.252666667"
"Rice","Kharif     ","Andhra Pradesh","2426073","6500545","928.4","247774835.5","630778.98","2.627272727"
"Sesamum","Kharif     ","Andhra Pradesh","92861","16651","928.4","9483893.93","24143.86","0.168095238"
"Small millets","Kharif     ","Andhra Pradesh","56370","33223","928.4","5757068.1","14656.2","0.469285714"
"Sunflower","Kharif     ","Andhra Pradesh","267613","219397","928.4","27331315.69","69579.38","0.986111111"
"Urad","Kharif     ","Andhra Pradesh","107061","44570","928.4","10934139.93","27835.86","0.388095238"
"Arhar/Tur","Kharif     ","Assam","7236","5125","1824.7","739012.68","1881.36","0.709130435"
"Castor seed","Kharif     ","Assam","1636","671","1824.7","167084.68","425.36","0.42952381"
"Cotton(lint)","Kharif     ","Assam","1882","860","1824.7","192208.66","489.32","0.443913043"
"Jute","Kharif     ","Assam","68178","674603","1824.7","6963019.14","17726.28","9.675652174"
"Maize","Kharif     ","Assam","19600","13940","1824.7","2001748","5096","0.608695652"
"Mesta","Kharif     ","Assam","4969","24484","1824.7","507483.97","1291.94","4.6045"
"Niger seed","Kharif     ","Assam","8914","4567","1824.7","910386.82","2317.64","0.532777778"
"Sesamum","Kharif     ","Assam","14738","8054","1824.7","1505191.94","3831.88","0.489565217"
